,name,address,county,ethnicity,GENDER,VETERAN,INCOME,NIGHTS,completed,probation,assistancetype,required,birthday,day_age,year_age,age_bracket,is_bday
167,Miranda Hall,"806 Carter Crescent
Sergioview, NV 75615",South Heidiberg,3,0,0,664.0,10,1,0,1,1,2015-12-26,1804,4,4-6,False
168,Bobby Hahn III,"30278 Wayne Ramp Suite 172
East Thomas, MD 80915",Gonzalezhaven,0,0,1,13133.0,208,1,1,0,1,2010-12-05,3651,9,7-11,False
169,Lisa Taylor,"73585 Dustin Oval Suite 452
Lake Sarah, NE 82683",Stephanieville,2,1,1,2070.0,53,1,1,1,1,2007-01-31,5055,13,12-15,False
170,Peter Phillips,"8415 Patricia Mill
Lake Baileymouth, AK 40520",New Denise,0,0,0,8408.0,23,0,0,1,1,1982-01-19,14198,38,adult,False
171,John Kim,"3134 Edwin Rapid Suite 960
Mcbridetown, WI 51825",Elaineville,1,0,0,11133.0,55,1,1,0,1,1984-07-08,13297,36,adult,False
172,Andrew Vargas,"0594 David Locks Apt. 956
Boydtown, ND 91040",Jacobfurt,4,0,1,5746.0,63,0,0,1,0,1986-05-14,12622,34,adult,False
173,Martin Cohen,"068 Vanessa Cove Suite 104
Gravesstad, MA 56178",Mcdonaldborough,3,1,1,3887.0,119,0,1,1,1,1982-10-30,13914,38,adult,False
174,Amy Hall,"2998 Heath Station
South Amanda, AR 03580",South Heidiberg,0,0,0,2990.0,91,1,1,0,0,1989-05-16,11524,31,adult,False
175,Sean Carrillo,"5058 Bowen Drives Suite 683
Brendachester, IA 12639",West Jennifer,1,1,0,9200.0,487,0,0,0,0,1992-03-03,10502,28,adult,False
176,Brittney Carson,"237 White Squares
Wandahaven, SC 58923",South Heidiberg,5,1,1,12532.0,153,0,0,1,0,2001-12-15,6928,18,16-18,False
177,Matthew Mcdonald,"960 Burton Point Apt. 021
East Joseph, WI 74365",Lake Kirsten,4,1,0,10046.0,109,1,1,1,1,1997-05-20,8598,23,adult,False
178,Nicholas Morrison,"19868 Megan View Apt. 056
Paulafurt, DC 38267",Jacobfurt,3,0,0,12052.0,491,0,0,1,0,1997-01-09,8729,23,adult,False
179,David Patton,"51685 Carlson Club
New Jeffery, VA 50109",Port Shannon,3,0,0,11562.0,385,1,0,0,0,1993-03-23,10117,27,adult,False
180,Colin Nelson,"9035 Cardenas Gateway Apt. 116
Colonfurt, MD 91979",Jeffreymouth,0,0,0,13556.0,146,1,0,1,0,2020-01-08,330,0,,False
181,Crystal Miller,"97466 Wallace Mills
North Susan, ND 39789",Lake Kirsten,3,1,0,4889.0,258,0,0,0,1,1981-10-25,14284,39,adult,False
182,Joseph Powers,"08204 Adam Meadows Apt. 743
Josephfurt, IA 54717",Smithfurt,1,1,0,12597.0,314,1,0,0,0,1988-04-11,11924,32,adult,False
183,Laura Morton,"96208 Morris Track Apt. 126
Ramirezport, AK 73897",Williamsberg,5,0,0,15291.0,154,1,1,1,0,2017-10-02,1158,3,0-3,False
184,Melvin Owen MD,"141 Soto Mountain Apt. 198
Emilyport, VA 70701",Williamsberg,3,0,0,12817.0,96,1,1,1,0,2020-02-06,301,0,,False
185,Jessica Austin,"8147 Julie Inlet Apt. 612
East Mackenzie, ID 25598",Port Shannon,2,0,1,6741.0,38,0,1,0,0,1980-05-09,14818,40,adult,False
186,Carlos Le,"85214 Allison Mission
West Angiechester, NV 05945",Currytown,1,1,1,1939.0,172,1,1,0,0,1982-08-28,13977,38,adult,False
187,Mary Dalton,"0874 Richard Street
Masonside, MS 72094",Jeffreymouth,1,0,1,4517.0,180,0,0,1,1,1973-03-20,17425,47,adult,False
188,Troy Douglas,"959 Dean Prairie
South Andrewberg, DC 56169",South Elijahberg,3,1,0,2195.0,366,1,0,0,0,1974-11-20,16815,46,adult,False
189,Daniel Hall,"872 Kenneth Radial Apt. 040
Jameschester, DE 21498",Gonzalezhaven,1,0,1,4636.0,39,0,1,0,0,1976-12-07,16067,43,adult,False
190,Linda Thomas,"1353 Nixon Fork Apt. 503
Alexanderville, NC 88155",Stephanieville,1,1,1,10832.0,280,1,1,1,1,1972-03-11,17799,48,adult,False
191,Ronald Glenn,"64376 Joshua Keys
North Christopher, DE 17845",Smithfurt,1,1,0,6020.0,224,1,1,1,0,2007-03-19,5008,13,12-15,False
192,Casey Murphy,"70691 Sawyer Parkways Apt. 094
East Raymondtown, ME 76673",South Heidiberg,4,1,0,1004.0,201,0,0,0,0,2017-10-09,1151,3,0-3,False
193,Gwendolyn Mann,"1032 Obrien Meadows
East Randy, WV 02711",Gonzalezhaven,5,1,1,5256.0,196,1,0,1,1,1970-02-01,18568,50,adult,False
194,Andrew Brown,"013 Rebecca Pines Apt. 301
Port David, WV 83031",South Heidiberg,5,1,0,10588.0,406,0,0,0,0,1996-08-09,8882,24,adult,False
195,Erica Wagner,"9457 Christian Land Apt. 434
Harrisonfort, CA 62158",Port Shannon,4,0,1,14945.0,245,0,1,1,1,2005-08-12,5592,15,12-15,False
196,Martin Diaz,"Unit 5071 Box 6030
DPO AE 31140",South Elijahberg,1,0,0,9225.0,55,0,1,0,1,1988-09-26,11756,32,adult,False
197,Stephen Nelson,"76416 Campbell Brook Apt. 069
North Breannaside, TX 75055",South Heatherport,0,0,0,14426.0,358,1,1,0,0,2015-03-15,2090,5,4-6,False
198,Rita Larson,"7722 Combs Plain
Mckayfort, MD 72932",North Elizabeth,4,0,0,12365.0,320,1,1,1,0,2018-05-06,942,2,0-3,False
199,Stephanie Cole,"20440 William Inlet Apt. 279
Leonardburgh, NC 92906",Port Shannon,5,1,1,11844.0,430,0,0,1,1,1974-12-18,16787,45,adult,False
200,Angela Sanford,"056 Young Club
Jessicaton, IL 31577",Jeffreymouth,1,1,1,2004.0,420,0,1,1,0,1997-05-13,8605,23,adult,False
201,William Nguyen,"4741 Nancy Stravenue Suite 505
South Melissaside, ID 65425",Port Shannon,3,0,0,5584.0,31,0,0,0,0,1987-01-26,12365,33,adult,False
202,Megan Flynn,"96279 Thomas Crescent Apt. 833
Calebfort, MS 19845",New Denise,2,1,1,7442.0,312,0,0,0,0,2012-01-29,3231,8,7-11,False
203,Louis Ingram,"63089 Cheryl Oval
Keithview, ME 01106",Elaineville,5,0,0,5189.0,462,1,0,1,0,1976-08-12,16184,44,adult,False
204,Krystal Waters,"5532 Diaz Mission Apt. 763
Meaganland, NC 55573",South Heidiberg,4,1,1,8346.0,12,0,0,1,1,1987-10-23,12095,33,adult,False
205,Brent Bailey,"722 Hill Burgs Suite 646
Erinchester, NV 72761",South Heidiberg,0,0,1,386.0,424,0,0,0,1,1987-01-01,12390,33,adult,False
206,Denise Mills,"30797 Daniel Place Suite 059
Lake David, MD 05179",South Elijahberg,0,1,1,9381.0,70,1,1,0,1,1980-03-02,14886,40,adult,False
207,Dale Mcdonald,"318 Adam Ford Apt. 805
Andrewburgh, WI 16938",Jeffreymouth,2,0,0,11719.0,84,0,1,1,0,2017-07-02,1250,3,0-3,False
208,Danielle Lee,"USS Wilson
FPO AE 71818",Smithfurt,4,0,0,9252.0,39,1,1,1,0,1999-08-09,7787,21,adult,False
209,Carol Jones,"896 Cindy Rapid Suite 973
Amandashire, CO 11779",West Paul,3,1,0,8326.0,466,0,1,0,0,1984-04-12,13384,36,adult,False
210,Thomas Pineda,"033 Lindsey Pike Suite 930
Lake Wesleyshire, NH 03521",Williamsberg,0,0,0,8636.0,102,0,0,1,0,1979-01-05,15308,41,adult,False
211,Kimberly Dawson,"76796 Ashlee Spring Suite 446
Jasonshire, DE 91597",South Heidiberg,3,1,1,6138.0,417,1,0,0,1,1976-08-09,16187,44,adult,False
212,Allison Wagner,"43410 Mark Rapid
Elizabethfurt, GA 58213",Mcdonaldborough,0,0,0,3107.0,347,0,1,1,1,2006-03-08,5384,14,12-15,False
213,Kenneth Cook,"Unit 3441 Box 1872
DPO AP 14383",Currytown,3,0,0,14180.0,156,1,0,0,0,1995-06-21,9297,25,adult,False
214,Toni Lang,"4490 Huang Valley Suite 127
Wayneburgh, ID 49804",Lake Kirsten,0,0,0,8826.0,258,1,1,0,1,1979-05-03,15190,41,adult,False
215,Emily Green MD,"469 Trevino Key
Port Jamesshire, ND 24281",New Joseph,3,1,0,9185.0,70,0,1,1,1,1980-08-18,14717,40,adult,False
216,Jennifer Gonzales,"052 Matthew Cliff
Richardborough, DE 93778",New Denise,0,1,1,1345.0,29,0,1,1,1,1998-10-22,8078,22,adult,False
217,Richard Kelly,"138 Allison Square
Port Marcus, IN 66695",South Heatherport,2,1,0,14413.0,402,1,0,1,0,1983-03-05,13788,37,adult,False
218,Jason Ramirez,"70120 Rice Glens
Edwardfort, WV 61293",New Joseph,3,0,0,14010.0,517,0,0,1,0,2015-02-09,2124,5,4-6,False
219,Nicole Mccarthy,"14776 Ruth Island
Kennedyborough, HI 42973",South Elijahberg,3,1,0,14727.0,290,0,0,1,0,1984-01-01,13486,36,adult,False
220,Edwin Gardner,"0358 Anderson Springs
Vargasstad, WV 03227",Jeffreymouth,5,1,1,13526.0,334,1,0,1,1,1987-07-17,12193,33,adult,False
221,Timothy Chase,"112 Mary Camp Suite 517
Berryview, IN 72865",Jeffreymouth,4,0,0,2401.0,263,1,0,0,0,1989-05-12,11528,31,adult,False
222,Harry Mack,"114 Marcus Lock
Catherinemouth, VA 98130",South Heatherport,1,0,0,15283.0,103,1,1,0,1,1984-08-20,13254,36,adult,False
223,Kathy Martinez,"386 Tammy Pines Apt. 919
Robertchester, VA 34656",Mcdonaldborough,0,0,0,14513.0,138,0,1,1,1,1982-03-18,14140,38,adult,False
224,Melvin Austin,"79664 Randy Locks Apt. 035
Philipview, VA 31985",Elaineville,0,0,1,455.0,481,0,1,1,0,1994-03-10,9765,26,adult,False
225,Jason Colon,"61565 Ryan Center
Fisherburgh, HI 02606",Smithfurt,4,1,0,11680.0,201,0,1,0,0,2003-12-03,6210,17,16-18,True
226,Michael Davis,"160 Leonard Course
Kathymouth, FL 52137",Smithfurt,2,1,0,11908.0,262,1,0,1,1,1972-10-04,17592,48,adult,False
227,Zachary Gonzalez,"404 Callahan Roads Suite 900
Lake Amyborough, MO 14942",New Joseph,0,1,0,10116.0,397,1,0,0,1,1990-09-03,11049,30,adult,False
228,Samantha White,"94254 Michael Views
Daniellestad, MS 29177",Stephanieville,4,0,1,12701.0,96,1,0,0,1,2005-12-02,5480,15,12-15,False
229,Daniel Smith,"3449 Nicholas Forest Apt. 469
Lake Courtney, ND 62239",Lake Kirsten,5,1,0,13937.0,17,0,1,0,0,2002-10-10,6629,18,16-18,False
230,Travis Reynolds,"84325 Phelps Spring Suite 270
New Nancy, VT 67404",Stephanieville,4,1,0,8309.0,80,1,1,0,1,2001-04-15,7172,19,adult,False
231,Brian Gregory,"502 Jensen Shoal
New Tyler, IL 75922",New Denise,1,1,0,4837.0,198,0,1,1,0,1974-04-23,17026,46,adult,False
232,Craig Nelson,"20302 Kimberly Divide
Lisahaven, NH 07992",West Paul,0,1,1,10329.0,515,0,1,1,1,1990-04-11,11194,30,adult,False
233,Wesley Davis,"4870 Chad Valley Suite 632
Stevensmouth, MD 03348",Elaineville,4,1,0,14891.0,233,0,1,1,1,1990-03-24,11212,30,adult,False
234,Derek Gonzalez,"517 Franco Knoll
East Wesley, WA 61668",Gonzalezhaven,2,1,1,15138.0,75,0,0,1,1,1974-11-27,16808,46,adult,False
235,Kathy Johnson,"531 Brad Manor
Port Patrickshire, SC 42383",Elaineville,1,0,1,987.0,478,0,1,0,1,1984-05-26,13340,36,adult,False
236,Daniel Brown,"287 Jacobs Isle
Randyport, MS 62072",Jacobfurt,3,1,0,14859.0,439,0,1,0,0,1980-02-07,14910,40,adult,False
237,Carol Barnes,"57237 Jesse View Apt. 299
North Katiefort, IA 64805",South Heidiberg,2,0,0,747.0,338,0,1,0,1,1970-01-08,18592,50,adult,False
238,Michelle Peterson PhD,"USNS Nguyen
FPO AP 69310",Ruizchester,0,1,1,2817.0,516,1,0,0,0,1989-10-16,11371,31,adult,False
239,Andrew Castaneda,"3138 Wood Port
West Johnton, MS 33996",South Elijahberg,1,0,0,14489.0,479,0,0,0,0,1977-10-26,15744,43,adult,False
240,Nathan Carter,"745 Erin Vista
Lake Jasonfurt, WY 44344",Gonzalezhaven,5,1,1,12956.0,8,0,0,1,0,2015-12-01,1829,5,4-6,False
241,Scott Rogers,"056 Hahn Mount Suite 858
Garciaburgh, AL 60341",New Jasmin,3,0,0,13668.0,153,1,0,1,1,1992-03-07,10498,28,adult,False
242,Alexander Turner,"0426 Anderson Gateway Suite 700
Nicholasview, OK 84398",Lake Kirsten,2,0,0,14490.0,285,0,0,0,1,2011-07-07,3437,9,7-11,False
243,Amanda Adams,"79579 Tucker Lane
South Shaneside, KY 83969",Jacobfurt,4,1,1,11995.0,200,1,0,1,0,1997-05-28,8590,23,adult,False
244,Amy Green,"664 Tracy Station Suite 890
Rebeccaview, NM 25129",Lake Kirsten,0,1,1,11437.0,296,0,1,0,0,2017-04-15,1328,3,0-3,False
245,Vickie Chandler,"145 Castro Knolls
Staceyview, IL 02669",Port Shannon,4,0,0,2612.0,173,1,0,1,1,2014-04-21,2418,6,4-6,False
246,Kimberly Perry,"056 Gabrielle Brooks Suite 718
Lake Alexisview, TN 54709",Elaineville,0,0,1,14274.0,71,0,1,1,0,1989-12-03,11323,31,adult,True
247,Cynthia Johnson,"907 Amanda Loaf
Christineton, NH 45844",South Elijahberg,3,1,0,924.0,132,1,0,0,1,1978-11-27,15347,42,adult,False
248,Nicolas Pittman,"95162 Blair Locks
East Kiara, DC 06703",Gonzalezhaven,1,1,0,8580.0,57,0,0,0,1,1979-01-12,15301,41,adult,False
249,Craig Bailey,"Unit 8408 Box 1301
DPO AE 89270",Jeffreymouth,3,0,0,10134.0,237,1,0,0,1,1980-07-07,14759,40,adult,False
250,Wanda Davis,"USCGC Reilly
FPO AP 40386",Mcdonaldborough,3,0,0,12508.0,465,0,1,1,0,1975-06-03,16620,45,adult,False
251,Derek Nichols II,"343 Lin Vista Suite 874
Jonesburgh, KY 99005",Jeffreymouth,0,1,0,14445.0,352,1,1,1,1,1984-09-24,13219,36,adult,False
252,Justin Williams,"54294 House Pines
South Jennifershire, NH 63874",North Elizabeth,2,1,1,3469.0,81,1,1,1,0,1982-12-31,13852,37,adult,False
253,Adam Miles,"6058 Sellers Park Suite 305
Kaylahaven, CO 87046",Lake Kirsten,2,0,0,7803.0,4,0,1,1,1,1984-06-14,13321,36,adult,False
254,Taylor Wallace,"0279 Nunez Corners
Wilsonville, NC 18251",Jacobfurt,2,0,0,2088.0,302,1,0,0,0,1986-09-13,12500,34,adult,False
255,Jeffrey Mcdonald,"23300 Mark Cape Apt. 724
East Janiceport, AZ 24083",South Elijahberg,4,1,1,2973.0,214,0,1,1,1,1975-08-22,16540,45,adult,False
256,Erin Stokes,"0952 Ryan Lights
South Karen, KY 37044",New Denise,2,1,1,12722.0,163,0,0,0,1,1992-02-23,10511,28,adult,False
257,Jessica Rogers DDS,"4470 Rivas Shore Suite 513
Mclaughlinfurt, SC 95152",Mcdonaldborough,2,0,1,11891.0,228,0,0,0,0,1975-12-21,16419,44,adult,False
258,Anthony Walker,"556 Powers Streets Suite 829
North Michaelville, NE 05889",South Elijahberg,3,1,0,10884.0,311,0,1,0,1,2007-04-29,4967,13,12-15,False
259,Karen Huynh,"9756 Cortez Villages
Grantmouth, WI 79639",Jacobfurt,1,0,1,3085.0,367,1,1,0,1,2001-08-10,7055,19,adult,False
260,Jamie Williams,"8287 Rebecca Glens Suite 237
Rogersport, AK 73042",Jacobfurt,3,0,1,8065.0,160,1,0,1,0,2008-07-18,4521,12,12-15,False
261,Kelly Taylor,"068 Maynard Isle
Michaelville, NH 86247",Smithfurt,2,0,1,10991.0,112,1,1,1,0,2004-02-14,6137,16,16-18,False
262,Laurie Roberts,"730 Randy Village
Washingtonbury, TX 00944",West Paul,3,0,0,8004.0,17,0,1,1,0,2013-07-23,2690,7,7-11,False
263,Juan Jennings,"23150 Robert Heights Apt. 503
Clarkport, DE 49215",New Joseph,2,1,0,4697.0,64,1,0,0,0,2018-09-02,823,2,0-3,False
264,David Watson,"08580 Castillo Way
Charlesfurt, AK 74066",Gonzalezhaven,5,1,1,2736.0,331,1,1,1,1,2013-12-16,2544,6,4-6,False
265,Benjamin Blake,"148 Marshall Glen Apt. 677
Port Lindsay, DC 53275",South Elijahberg,4,0,1,6002.0,90,1,0,0,0,2016-07-31,1586,4,4-6,False
266,Kevin Morgan,"98967 Clark Path Apt. 875
Lake Brendafort, IN 22814",Gonzalezhaven,0,0,1,10069.0,72,1,1,0,1,2015-01-13,2151,5,4-6,False
267,Angela Conway,"179 Christopher Viaduct
Lake Rebecca, ND 22114",South Heidiberg,2,1,0,6822.0,56,1,0,1,1,1987-12-17,12040,32,adult,False
268,Gregory Davis,"531 Claudia Port
Rodneyfort, WI 14665",Stephanieville,5,0,1,103.0,396,1,0,0,0,1990-05-25,11150,30,adult,False
269,Tiffany Reyes,"747 Shepherd Road Suite 116
Hallfurt, IN 09384",Port Shannon,5,1,0,7178.0,104,1,1,1,0,1997-08-06,8520,23,adult,False
270,Randall Rivers,"072 Richmond Common
Amyfort, KY 11729",Williamsberg,1,0,0,10585.0,185,0,0,1,1,2010-03-22,3909,10,7-11,False
271,Ryan Dean,"650 Mcknight Parks Suite 702
South David, CA 96640",West Paul,2,1,0,1252.0,326,0,0,0,0,1980-12-29,14584,39,adult,False
272,Kevin Williams,"621 Adam Isle
Taylorborough, NV 67901",Elaineville,0,0,1,1793.0,18,1,1,0,0,1977-12-16,15693,42,adult,False
273,Jermaine Romero,"PSC 5010, Box 3706
APO AE 67602",North Elizabeth,2,0,0,13590.0,35,0,1,1,1,2017-05-08,1305,3,0-3,False
274,Pedro Mcdonald,"3090 Guzman Pines
Nguyenhaven, DC 27317",Jeffreymouth,0,1,0,13153.0,13,1,0,0,1,2004-09-25,5913,16,16-18,False
275,Sara Smith,"267 Anderson Square
Craigfurt, HI 85080",Jeffreymouth,2,1,1,13166.0,38,0,0,1,1,1996-10-19,8811,24,adult,False
276,Jason Tucker,"98883 Lucero Overpass
North Jeffrey, MI 42202",Mcdonaldborough,0,1,0,15019.0,178,1,1,0,1,2003-11-19,6224,17,16-18,False
277,Crystal Torres,"190 Anderson Motorway
Bradleybury, AL 81950",Jacobfurt,3,1,0,10876.0,429,1,1,1,0,1998-12-17,8022,21,adult,False
278,Joyce Clark MD,"75267 Weiss Underpass Apt. 656
Mariaport, MA 43454",Mcdonaldborough,1,1,1,5788.0,433,1,1,0,0,1984-02-10,13446,36,adult,False
279,David Brown,"0297 Johns Causeway
Zacharystad, MN 80917",Williamsberg,1,1,1,6026.0,186,1,1,0,1,1979-11-02,15007,41,adult,False
280,Stephanie Ruiz,"00551 Dana Unions Suite 471
Lake Matthewside, NC 14942",New Joseph,2,1,1,12677.0,444,1,1,1,0,2012-01-24,3236,8,7-11,False
281,Crystal Moss,"429 Martin Roads Apt. 848
Montoyabury, DC 53988",New Denise,1,1,0,1958.0,373,0,0,0,0,1975-12-01,16439,45,adult,False
282,Shelley Miranda,"Unit 1482 Box 9062
DPO AE 97959",Jeffreymouth,1,1,0,997.0,369,0,0,0,1,1994-07-26,9627,26,adult,False
283,Courtney Rowe,"32324 Joseph Port Suite 851
Tylerchester, MI 78186",New Denise,2,1,0,11592.0,137,0,0,1,0,1975-10-15,16486,45,adult,False
284,James Peters,"8786 Brooks Ports
Port Michael, MN 51687",New Jasmin,2,1,1,10206.0,484,1,1,1,0,1974-07-25,16933,46,adult,False
285,Jennifer Ross,"6657 Jessica Parkways Apt. 861
New Rebeccaton, DE 23057",New Jasmin,4,1,1,11554.0,106,1,0,0,1,2000-02-08,7604,20,adult,False
286,Anthony Cobb,"558 Jeffrey Inlet Suite 975
Taylorstad, WI 45032",North Elizabeth,3,0,0,6961.0,161,0,1,1,0,1987-03-27,12305,33,adult,False
287,Amy Burns,"06360 Hill Forge Apt. 556
New Trevor, MD 22213",Gonzalezhaven,1,0,1,3447.0,127,0,1,0,1,1999-08-14,7782,21,adult,False
288,Matthew Sullivan,"USNV Maynard
FPO AE 03347",Jacobfurt,2,0,0,7509.0,483,0,0,0,1,1991-09-26,10661,29,adult,False
289,Jared Garcia,"Unit 0729 Box 0613
DPO AA 86809",West Jennifer,1,1,0,748.0,233,1,0,1,0,1988-03-28,11938,32,adult,False
290,Christopher Willis,"91335 Richard Parkway Suite 557
Stanleychester, AZ 13923",Ruizchester,1,1,1,4381.0,18,1,1,0,1,2015-08-23,1929,5,4-6,False
291,Sarah Harper,"533 Love Bypass Apt. 083
West Vanessa, KY 75474",Jacobfurt,1,1,1,11766.0,18,1,0,1,1,1999-07-16,7811,21,adult,False
292,Mallory Cook,"42549 Frederick Shoal Apt. 316
Marymouth, CT 05034",Port Shannon,0,0,0,13033.0,491,1,1,0,0,1981-05-03,14459,39,adult,False
293,Lisa Freeman,"09962 Padilla Hill Suite 830
Jacquelineview, CO 25133",South Heatherport,2,0,1,945.0,356,1,1,1,1,1999-02-28,7949,21,adult,False
294,Abigail Henderson,"767 Doyle Haven Apt. 717
Erinmouth, KY 31143",Port Shannon,0,0,0,7045.0,29,1,1,1,0,2012-02-06,3223,8,7-11,False
295,Amanda Powers,"9877 Drew Island
North David, OK 50080",West Jennifer,2,0,0,12342.0,261,1,0,1,1,2012-09-26,2990,8,7-11,False
296,Sandra Davis,"69014 Douglas Extensions
Claymouth, IN 96784",South Heatherport,2,1,0,7107.0,358,1,0,0,0,2016-05-19,1659,4,4-6,False
297,Anthony Smith,"153 Ricky Springs Apt. 442
South Thomas, AR 92888",Jeffreymouth,4,1,0,4265.0,448,1,0,0,0,1987-03-23,12309,33,adult,False
298,Bradley Lopez,"077 Lee Manors
North Wayne, DC 18510",North Elizabeth,4,1,0,847.0,11,1,0,1,0,1970-01-19,18581,50,adult,False
299,Marc Avery,"112 Rios Viaduct
West Katherinechester, FL 31300",New Joseph,4,0,1,13099.0,238,0,0,0,0,2012-04-05,3164,8,7-11,False
300,Ray Ruiz,"22470 Lisa Summit
Port Garychester, NJ 43994",Gonzalezhaven,1,0,0,2926.0,201,1,0,1,1,1985-09-22,12856,35,adult,False
301,Keith Warren,"PSC 5635, Box 1986
APO AE 73864",Ruizchester,2,1,0,1304.0,212,0,1,1,1,1993-11-10,9885,27,adult,False
302,Tonya Johnson,"7370 John Dam Apt. 373
Port Jason, DC 07271",West Jennifer,2,0,1,2421.0,384,0,0,0,0,1982-09-24,13950,38,adult,False
303,Benjamin Rodriguez,"80115 Jones Cliffs Suite 956
South Timothy, SC 56021",Ruizchester,0,0,1,8578.0,425,1,1,1,0,2004-11-13,5864,16,16-18,False
304,Kristen Santiago,"9920 Clark Rest Apt. 353
North Seanfort, AK 24793",New Jasmin,4,1,1,9990.0,103,1,0,1,1,1998-07-23,8169,22,adult,False
305,Monica Mccarthy,"63613 Olson Route Apt. 628
West Ian, RI 14814",South Heidiberg,0,0,0,8035.0,89,1,1,1,1,1992-04-24,10450,28,adult,False
306,Nicholas Mckenzie,"93704 Cook Falls Apt. 762
Samanthastad, DC 87319",Elaineville,1,0,1,6763.0,286,1,1,0,1,2001-08-05,7060,19,adult,False
307,Michele Stewart,"2907 Candice Ridges
Dunnburgh, KY 08872",North Elizabeth,4,1,1,2232.0,446,1,0,0,1,1983-02-16,13805,37,adult,False
308,Jill Nelson,"566 Johnson Crossing Suite 777
South Erik, SC 32448",South Heidiberg,5,1,1,5257.0,69,1,1,1,0,1992-01-31,10534,28,adult,False
309,Christopher Wilson,"8326 Ronald Neck Suite 520
Port Ginaton, ID 15433",South Heatherport,4,1,0,1741.0,462,1,1,0,0,2000-11-28,7310,20,adult,False
310,Paula Kaiser,"850 Roberts Terrace Suite 059
Robertside, MN 00891",New Denise,3,0,1,8163.0,274,1,1,1,1,1971-03-27,18149,49,adult,False
311,Brian Thomas MD,"3042 Cox Gateway Suite 549
West Brianna, OH 04601",West Jennifer,1,1,0,453.0,235,0,0,1,0,1978-07-01,15496,42,adult,False
312,William Fischer,"580 Strong Crescent Apt. 307
North Ashleyborough, OK 91767",South Elijahberg,1,0,0,9292.0,379,0,1,0,0,2014-11-17,2208,6,4-6,False
313,Chelsea Hill,"86982 Snyder Springs Apt. 622
Jimenezland, OR 40903",Mcdonaldborough,2,1,1,1343.0,520,0,0,0,0,2020-10-08,56,0,,False
314,Julia Perez,"0225 Smith Overpass Suite 125
Michaelshire, NV 74449",South Elijahberg,5,1,0,13187.0,460,1,0,0,1,1971-04-13,18132,49,adult,False
315,Erika Lopez,"9339 Flores Place
Andreaton, OR 97660",New Denise,3,1,1,13705.0,518,1,0,0,0,2008-09-15,4462,12,12-15,False
316,Cristian Chambers,"485 Richards Path Suite 896
Port Marcside, NE 68664",Smithfurt,2,1,1,11744.0,471,1,1,1,1,1979-06-11,15151,41,adult,False
317,Amber Hunter,"8226 Aaron Course
Deniseshire, PA 93173",West Jennifer,5,1,0,7961.0,418,0,1,1,0,1974-10-16,16850,46,adult,False
318,Colin Clark,"0532 Leon Highway
Port Jenniferport, NJ 14689",Jacobfurt,5,0,0,6659.0,389,0,1,0,1,2016-07-16,1601,4,4-6,False
319,Kristen Guerrero,"65889 Richard Streets Apt. 654
Donnatown, SC 74122",Lake Kirsten,2,1,0,2612.0,161,0,1,1,0,1972-11-03,17562,48,adult,False
320,Mary Mayo,"4231 Sheila Drives Suite 838
Port Jeffrey, NY 81951",West Paul,0,0,1,3428.0,93,0,1,0,1,2014-11-27,2198,6,4-6,False
321,Melissa Roman,"772 Gonzalez Lodge Suite 639
Davisburgh, IN 16106",Williamsberg,0,0,0,267.0,327,0,0,0,0,2011-01-23,3602,9,7-11,False
322,Jason Miller,"USS Smith
FPO AA 16489",Smithfurt,4,1,1,12788.0,403,1,0,0,1,2005-07-21,5614,15,12-15,False
323,Daniel Benton,"704 Becker Harbors
West James, TX 51861",South Elijahberg,0,1,1,7366.0,499,1,0,1,1,2013-11-16,2574,7,7-11,False
324,Sarah Hughes,"3177 James Shore Apt. 701
Lake Tylerhaven, ID 95791",West Paul,2,0,1,13966.0,262,1,1,1,0,1982-03-07,14151,38,adult,False
325,Joseph Cobb,"0589 Rodriguez Corners Suite 657
Gibsonchester, VA 70907",Lake Kirsten,3,1,1,6736.0,227,1,0,0,1,1985-07-07,12933,35,adult,False
326,William Romero,"858 Danielle Expressway Suite 948
Port Seanberg, NH 06800",Ruizchester,3,0,1,6475.0,411,1,1,1,0,1981-02-06,14545,39,adult,False
327,Courtney Young,"7130 Christy Lock Apt. 392
Owenston, CA 24324",Port Shannon,5,1,1,13388.0,383,1,0,0,1,2008-08-28,4480,12,12-15,False
328,Diana Thomas,"70077 Cheryl Orchard
North Georgeport, CT 12541",West Jennifer,4,1,0,9330.0,329,1,1,1,1,1981-03-20,14503,39,adult,False
329,Wendy Martin,"Unit 3306 Box 9297
DPO AE 03073",South Elijahberg,4,1,0,5698.0,104,0,0,0,0,2011-12-01,3290,9,7-11,False
330,Ashley Melton,"8948 Arellano Ferry Suite 121
Kimberlybury, MN 86162",Smithfurt,0,1,1,14701.0,244,1,0,1,0,1986-07-25,12550,34,adult,False
331,Brian Reynolds,"434 Nicholas Locks
Simpsonshire, CO 47880",South Elijahberg,1,1,0,4049.0,506,1,1,1,1,2012-06-15,3093,8,7-11,False
332,Ashley Serrano,"51346 Powers Drive
Katiemouth, ME 04986",New Joseph,0,0,0,3468.0,518,0,1,1,0,1973-01-01,17503,47,adult,False
333,Ashlee Leonard,"7082 Stephanie Knolls
Alexisside, CO 11046",South Elijahberg,0,1,0,4389.0,21,0,1,1,0,2001-03-15,7203,19,adult,False
